﻿id;parent_id;number;name;description;type_id;status_id;lock_id;subcounto_id;edited_date;history_list_id
1;0;0;План рахунків;План рахунків 2024;1;19;19;;;
2;1;10;Основні засоби;Усі види діяльності;2;19;19;;;
3;2;100;Інвестиційна нерухомість;Усі види діяльності;3;19;19;;;
4;2;101;Земельні ділянки;Усі види діяльності;3;19;19;;;
5;2;102;Капітальні витрати на поліпшення земель;Усі види діяльності;3;19;19;;;
6;2;103;Будинки та споруди;Усі види діяльності;3;19;19;;;
7;2;104;Машини та обладнання;Усі види діяльності;3;19;19;;;
8;2;105;Транспортні засоби;Усі види діяльності;3;19;19;;;
9;2;106;Інструменти, прилади та інвентар;Усі види діяльності;3;19;19;;;
10;2;107;Тварини;Усі види діяльності;3;19;19;;;
11;2;108;Багаторічні насадження;Усі види діяльності;3;19;19;;;
12;2;109;Інші основні засоби;Усі види діяльності;3;19;19;;;
13;1;11;Інші необоротні матеріальні активи;Усі види діяльності;2;19;19;;;
14;13;111;Бібліотечні фонди;Усі види діяльності;3;19;19;;;
15;13;112;Малоцінні необоротні матеріальні активи;Усі види діяльності;3;19;19;;;
16;13;113;Тимчасові (нетитульні) споруди;Усі види діяльності;3;19;19;;;
17;13;114;Природні ресурси;Усі види діяльності;3;19;19;;;
18;13;115;Інвентарна тара;Усі види діяльності;3;19;19;;;
19;13;116;Предмети прокату;Усі види діяльності;3;19;19;;;
20;13;117;Інші необоротні матеріальні активи;Усі види діяльності;3;19;19;;;
21;1;12;Нематеріальні активи;Усі види діяльності;2;19;19;;;
22;21;121;Права користування природними ресурсами;Усі види діяльності;3;19;19;;;
23;21;122;Права користування майном;Усі види діяльності;3;19;19;;;
24;21;123;Права на комерційні позначення;Усі види діяльності;3;19;19;;;
25;21;124;Права на об’єкти промислової власності;Усі види діяльності;3;19;19;;;
26;21;125;Авторське право та суміжні з ним права;Усі види діяльності;3;19;19;;;
27;21;127;Інші нематеріальні активи;Усі види діяльності;3;19;19;;;
28;1;13;Знос (амортизація) необоротних активів;Усі види діяльності;2;19;19;;;
29;28;131;Знос основних засобів;Усі види діяльності;3;19;19;;;
30;28;132;Знос інших необоротних матеріальних активів;Усі види діяльності;3;19;19;;;
31;28;133;Накопичена амортизація нематеріальних активів;Усі види діяльності;3;19;19;;;
32;28;134;Накопичена амортизація довгострокових біологічних активів;Усі види діяльності;3;19;19;;;
33;28;135;Знос інвестиційної нерухомості;Усі види діяльності;3;19;19;;;
34;1;14;Довгострокові фінансові інвестиції;Усі види діяльності;2;19;19;;;
35;34;141;Інвестиції пов’язаним сторонам за методом обліку участі в капіталі;Усі види діяльності;3;19;19;;;
36;34;142;Інші інвестиції пов’язаним сторонам;Усі види діяльності;3;19;19;;;
37;34;143;Інвестиції непов’язаним сторонам;Усі види діяльності;3;19;19;;;
38;1;15;Капітальні інвестиції;Усі види діяльності;2;19;19;;;
39;38;151;Капітальне будівництво;Усі види діяльності;3;19;19;;;
40;38;152;Придбання (виготовлення) основних засобів;Усі види діяльності;3;19;19;;;
41;38;153;Придбання (виготовлення) інших необоротних матеріальних активів;Усі види діяльності;3;19;19;;;
42;38;154;Придбання (створення) нематеріальних активів;Усі види діяльності;3;19;19;;;
43;38;155;Придбання (вирощування) довгострокових біологічних активів;Усі види діяльності;3;19;19;;;
44;1;16;Довгострокові біологічні активи;Сільськогосподарські підприємства, підприємства інших галузей, що здійснюють сільськогосподарську діяльність;2;19;19;;;
45;44;161;Довгострокові біологічні активи рослинництва, які оцінені за справедливою вартістю;Сільськогосподарські підприємства, підприємства інших галузей, що здійснюють сільськогосподарську діяльність;3;19;19;;;
46;44;162;Довгострокові біологічні активи рослинництва, які оцінені за первісною вартістю;Сільськогосподарські підприємства, підприємства інших галузей, що здійснюють сільськогосподарську діяльність;3;19;19;;;
47;44;163;Довгострокові біологічні активи тваринництва, які оцінені за справедливою вартістю;Сільськогосподарські підприємства, підприємства інших галузей, що здійснюють сільськогосподарську діяльність;3;19;19;;;
48;44;164;Довгострокові біологічні активи тваринництва, які оцінені за первісною вартістю;Сільськогосподарські підприємства, підприємства інших галузей, що здійснюють сільськогосподарську діяльність;3;19;19;;;
49;44;165;Незрілі довгострокові біологічні активи, які оцінюються за справедливою вартістю;Сільськогосподарські підприємства, підприємства інших галузей, що здійснюють сільськогосподарську діяльність;3;19;19;;;
50;44;166;Незрілі довгострокові біологічні активи, які оцінюються за первісною вартістю;Сільськогосподарські підприємства, підприємства інших галузей, що здійснюють сільськогосподарську діяльність;3;19;19;;;
51;1;17;Відстрочені податкові активи;Усі види діяльності;2;19;19;;;
52;1;18;Довгострокова дебіторська заборгованість та інші необоротні активи;Усі види діяльності;2;19;19;;;
53;52;181;Заборгованість за майно, що передано у фінансову оренду;Усі види діяльності;3;19;19;;;
54;52;182;Довгострокові векселі одержані;Усі види діяльності;3;19;19;;;
55;52;183;Інша дебіторська заборгованість;Усі види діяльності;3;19;19;;;
56;52;184;Інші необоротні активи;Усі види діяльності;3;19;19;;;
57;1;19;Гудвіл;Усі види діяльності;2;19;19;;;
58;57;191;Гудвіл при придбанні;Усі види діяльності;3;19;19;;;
59;57;193;Гудвіл при приватизації (корпоратизації);Усі види діяльності;3;19;19;;;
60;1;20;Виробничі запаси;Усі види діяльності;2;19;19;;;
61;60;201;Сировина й матеріали;Усі види діяльності;3;19;19;;;
62;60;202;Купівельні напівфабрикати та комплектуючі вироби;Усі види діяльності;3;19;19;;;
63;60;203;Паливо;Усі види діяльності;3;19;19;;;
64;60;204;Тара й тарні матеріали;Усі види діяльності;3;19;19;;;
65;60;205;Будівельні матеріали;Усі види діяльності;3;19;19;;;
66;60;206;Матеріали, передані в переробку;Усі види діяльності;3;19;19;;;
67;60;207;Запасні частини;Усі види діяльності;3;19;19;;;
68;60;208;Матеріали сільськогосподарського призначення;Усі види діяльності;3;19;19;;;
69;60;209;Інші матеріали;Усі види діяльності;3;19;19;;;
70;1;21;Поточні біологічні активи;Сільськогосподарські підприємства, підприємства інших галузей, що здійснюють cільськогосподарську діяльність;2;19;19;;;
71;70;211;Поточні біологічні активи рослинництва, які оцінені за справедливою вартістю;Сільськогосподарські підприємства, підприємства інших галузей, що здійснюють cільськогосподарську діяльність;3;19;19;;;
72;70;212;Поточні біологічні активи тваринництва, які оцінені за справедливою вартістю;Сільськогосподарські підприємства, підприємства інших галузей, що здійснюють cільськогосподарську діяльність;3;19;19;;;
