root_dt;root_kt
63;40
82;65
31;95
36;30
15;28
68;19
46;22
34;60
92;64
65;70
20;39
52;74
40;15
45;40
33;50
12;37
42;60
36;85
93;68
30;85
13;91
54;64
95;50
93;26
24;25
51;46
42;21
27;20
74;42
42;28
60;64
74;52
10;42
93;33
73;60
37;21
28;92
66;64
27;94
66;65
68;91
94;51
45;46
50;45
90;79
15;20
28;11
53;60
17;64
61;64
24;20
12;85
18;11
84;92
44;40
25;93
64;35
28;84
14;96
74;69
24;94
51;42
80;37
94;47
63;42
90;21
20;74
50;14
22;84
71;79
63;52
10;48
94;36
62;36
71;49
34;94
93;83
14;73
74;53
91;64
85;35
91;65
40;45
65;62
45;42
23;39
14;50
84;63
25;23
45;52
42;48
13;11
55;42
12;40
46;67
18;73
30;60
46;11
94;28
31;18
37;48
34;70
33;60
21;80
70;34
95;60
68;92
35;73
84;50
40;14
23;65
35;50
94;25
31;90
12;46
25;37
20;26
36;42
60;35
21;68
50;85
44;42
97;68
68;84
16;97
93;31
68;63
64;91
47;94
94;20
46;50
85;22
31;31
93;23
40;30
81;91
84;51
68;73
26;71
60;61
65;68
93;66
25;24
12;42
68;50
94;81
74;64
74;65
71;48
37;39
92;22
80;79
30;94
65;97
36;48
30;48
31;55
82;91
48;68
62;71
16;15
79;74
67;64
21;15
33;94
31;66
97;15
20;27
84;47
37;34
93;37
14;28
94;16
46;51
30;70
27;80
31;92
80;21
84;36
28;28
37;65
80;28
70;68
33;70
31;67
35;36
18;28
42;10
10;74
15;95
51;64
35;60
51;65
93;30
12;48
63;64
47;39
67;74
64;92
22;28
50;60
65;15
45;34
68;51
64;67
82;23
37;10
28;25
66;91
24;80
70;33
12;53
49;71
48;15
31;63
49;70
81;92
55;64
55;65
37;74
39;64
39;65
84;25
85;11
53;10
15;68
64;63
30;39
51;74
68;47
63;74
24;68
82;92
28;20
46;28
71;34
60;45
68;36
52;63
40;60
48;98
91;90
36;34
94;62
47;10
15;41
20;23
23;27
15;33
34;68
80;94
71;64
64;50
40;21
55;74
42;68
40;28
74;35
53;95
36;64
36;65
91;13
21;23
41;10
22;94
70;18
42;26
52;73
25;42
65;93
11;28
28;71
52;50
92;84
31;40
60;14
43;44
85;50
97;14
37;26
20;92
50;94
23;90
66;92
18;70
50;48
73;68
93;79
28;16
23;91
46;20
60;84
18;16
31;51
76;36
23;13
16;37
21;37
13;94
92;50
64;51
94;80
19;68
20;63
79;90
30;95
90;26
10;18
48;66
70;31
97;30
27;93
60;50
79;44
23;23
37;19
94;68
65;37
12;74
13;16
16;85
51;61
37;27
46;16
83;91
43;67
68;71
30;68
48;37
70;66
37;18
64;36
61;50
91;84
31;42
33;68
65;30
27;23
81;47
31;52
10;13
91;63
45;19
95;68
23;92
30;33
36;35
48;30
20;40
62;61
85;36
63;22
82;47
42;13
70;37
65;85
90;27
84;62
42;44
63;90
21;40
26;22
34;31
91;50
92;47
63;91
15;66
85;28
79;92
42;31
23;63
27;37
31;69
24;66
39;22
70;63
61;51
92;60
76;70
69;70
37;31
33;15
94;83
71;27
97;79
85;25
46;62
95;15
31;53
16;46
42;55
15;37
39;91
21;46
45;44
83;92
97;46
92;28
60;36
24;37
66;47
74;67
37;23
74;11
30;18
60;60
53;31
22;80
43;40
45;31
68;62
47;93
14;68
50;95
15;30
34;37
31;71
85;20
90;31
28;68
14;97
41;13
42;37
79;73
36;90
41;44
20;42
47;31
40;10
80;26
64;71
37;92
85;17
22;68
14;41
15;85
38;94
37;67
90;23
18;97
34;30
24;85
21;42
12;18
63;92
47;23
35;68
30;93
62;45
91;47
92;20
42;30
73;37
50;68
42;63
33;93
74;50
47;66
19;14
30;31
67;73
37;63
51;84
48;21
93;64
35;41
93;65
63;84
39;92
73;30
70;49
50;33
28;15
95;31
46;68
19;37
39;11
15;40
12;13
26;84
23;47
31;64
53;30
30;55
60;94
46;97
22;15
16;48
30;66
43;42
95;23
13;41
39;84
33;66
90;63
51;50
91;82
94;37
63;50
66;81
71;67
11;68
47;63
74;51
84;22
68;97
42;40
15;46
20;71
44;67
30;37
11;97
66;71
64;62
33;37
13;15
94;30
55;50
47;24
11;41
61;71
46;15
71;63
15;21
23;82
30;30
27;42
36;63
98;79
37;51
42;46
80;93
33;30
13;83
42;12
91;81
95;30
68;15
25;27
63;51
22;93
11;15
15;42
70;69
73;79
37;12
33;85
68;22
79;82
50;93
80;23
20;64
14;14
97;34
41;40
63;47
53;12
23;81
50;31
28;14
13;93
60;62
31;35
21;64
51;36
42;52
18;14
63;36
65;39
23;71
30;40
14;37
37;42
15;48
50;55
46;45
28;37
39;47
94;79
35;14
97;10
40;44
63;28
64;97
61;62
79;81
18;37
36;51
74;20
73;52
41;12
93;27
22;37
53;42
14;30
79;71
85;68
26;28
21;74
31;61
92;80
94;60
62;60
40;31
30;46
10;53
35;37
80;63
98;17
50;37
95;79
18;30
94;21
71;47
64;61
14;85
98;48
60;95
46;14
37;69
94;38
26;25
42;53
85;33
28;85
71;36
92;68
80;24
35;30
52;61
18;85
40;66
41;42
48;10
50;30
23;64
22;85
67;71
50;63
68;11
65;74
63;20
68;14
22;24
70;64
70;65
93;13
74;16
47;82
64;22
35;85
31;91
48;74
15;39
30;42
60;68
